Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
14,05-02-2010,2623469.95,0,27.31,2.784,181.8711898,8.992
14,12-02-2010,1704218.84,1,27.73,2.773,181.982317,8.992
14,19-02-2010,2204556.7,0,31.27,2.745,182.0347816,8.992
14,26-02-2010,2095591.63,0,34.89,2.754,182.0774691,8.992
14,05-03-2010,2237544.75,0,37.13,2.777,182.1201566,8.992
14,12-03-2010,2156035.06,0,45.8,2.818,182.1628441,8.992
14,19-03-2010,2066219.3,0,48.79,2.844,182.0779857,8.992
14,26-03-2010,2050396.27,0,54.36,2.854,181.9718697,8.992
14,02-04-2010,2495630.51,0,47.74,2.85,181.8657537,8.899
14,09-04-2010,2258781.28,0,65.45,2.869,181.7596377,8.899
14,16-04-2010,2121788.61,0,54.28,2.899,181.6924769,8.899
14,23-04-2010,2138144.91,0,53.47,2.902,181.6772564,8.899
14,30-04-2010,2082355.12,0,53.15,2.921,181.6620359,8.899
14,07-05-2010,2370116.52,0,70.75,2.966,181.6468154,8.899
14,14-05-2010,2129771.13,0,54.26,2.982,181.6612792,8.899
14,21-05-2010,2108187.1,0,62.62,2.958,181.8538486,8.899
14,28-05-2010,2227152.16,0,69.27,2.899,182.0464181,8.899
14,04-06-2010,2363601.47,0,75.93,2.847,182.2389876,8.899
14,11-06-2010,2249570.04,0,69.71,2.809,182.4315571,8.899
14,18-06-2010,2248645.59,0,72.62,2.78,182.4424199,8.899
14,25-06-2010,2246179.91,0,79.32,2.808,182.3806,8.899
14,02-07-2010,2334788.42,0,76.61,2.815,182.3187801,8.743
14,09-07-2010,2236209.13,0,82.45,2.793,182.2569603,8.743
14,16-07-2010,2130287.27,0,77.84,2.783,182.2604411,8.743
14,23-07-2010,2044155.39,0,81.46,2.771,182.3509895,8.743
14,30-07-2010,2054843.28,0,79.78,2.781,182.4415378,8.743
14,06-08-2010,2219813.5,0,77.17,2.784,182.5320862,8.743
14,13-08-2010,2052984.81,0,78.44,2.805,182.6226346,8.743
14,20-08-2010,2057138.31,0,76.01,2.779,182.6165205,8.743
14,27-08-2010,2020332.07,0,71.36,2.755,182.6104063,8.743
14,03-09-2010,2182563.66,0,78.37,2.715,182.6042922,8.743
14,10-09-2010,2191767.76,1,70.87,2.699,182.598178,8.743
14,17-09-2010,1953539.85,0,66.55,2.706,182.622509,8.743
14,24-09-2010,1879891.13,0,68.59,2.713,182.6696737,8.743
14,01-10-2010,1855703.66,0,70.58,2.707,182.7168385,8.724
14,08-10-2010,2091663.2,0,56.49,2.764,182.7640032,8.724
14,15-10-2010,1932162.63,0,58.61,2.868,182.8106203,8.724
14,22-10-2010,1936621.09,0,53.15,2.917,182.8558685,8.724
14,29-10-2010,1984768.34,0,61.3,2.921,182.9011166,8.724
14,05-11-2010,2078417.47,0,45.65,2.917,182.9463648,8.724
14,12-11-2010,2092189.06,0,46.14,2.931,182.9916129,8.724
14,19-11-2010,1968462.58,0,50.02,3,182.8989385,8.724
14,26-11-2010,2921709.71,1,46.15,3.039,182.7832769,8.724
14,03-12-2010,2258489.63,0,40.93,3.046,182.6676154,8.724
14,10-12-2010,2600519.26,0,30.54,3.109,182.5519538,8.724
14,17-12-2010,2762861.41,0,30.51,3.14,182.517732,8.724
14,24-12-2010,3818686.45,0,30.59,3.141,182.54459,8.724
14,31-12-2010,1623716.46,1,29.67,3.179,182.5714479,8.724
14,07-01-2011,1864746.1,0,34.32,3.193,182.5983058,8.549
14,14-01-2011,1699095.9,0,24.78,3.205,182.6585782,8.549
14,21-01-2011,1743188.87,0,30.55,3.229,182.9193368,8.549
14,28-01-2011,1613718.38,0,24.05,3.237,183.1800955,8.549
14,04-02-2011,1995891.87,0,28.73,3.231,183.4408542,8.549
14,11-02-2011,1980405.03,1,30.3,3.239,183.7016129,8.549
14,18-02-2011,2019031.67,0,40.7,3.245,183.9371353,8.549
14,25-02-2011,1875708.88,0,35.78,3.274,184.1625632,8.549
14,04-03-2011,2041215.61,0,38.65,3.433,184.3879911,8.549
14,11-03-2011,1931104.67,0,45.01,3.582,184.613419,8.549
14,18-03-2011,1932491.42,0,46.66,3.631,184.809719,8.549
14,25-03-2011,1879451.23,0,41.76,3.625,184.9943679,8.549
14,01-04-2011,1869110.55,0,37.27,3.638,185.1790167,8.521
14,08-04-2011,2037798.88,0,48.71,3.72,185.3636656,8.521
14,15-04-2011,1974960.86,0,53.69,3.821,185.5339821,8.521
14,22-04-2011,2256461.39,0,53.04,3.892,185.6684673,8.521
14,29-04-2011,1930617.64,0,66.18,3.962,185.8029526,8.521
14,06-05-2011,2095599.93,0,58.21,4.046,185.9374378,8.521
14,13-05-2011,2004330.3,0,60.38,4.066,186.0719231,8.521
14,20-05-2011,1959967.8,0,62.28,4.062,185.9661154,8.521
14,27-05-2011,2080694.24,0,69.7,3.985,185.8603077,8.521
14,03-06-2011,2079899.47,0,76.38,3.922,185.7545,8.521
14,10-06-2011,2132446,0,73.88,3.881,185.6486923,8.521
14,17-06-2011,2082083.34,0,69.32,3.842,185.6719333,8.521
14,24-06-2011,2069523.52,0,74.85,3.804,185.7919609,8.521
14,01-07-2011,2074668.19,0,74.04,3.748,185.9119885,8.625
14,08-07-2011,2063401.06,0,77.49,3.711,186.032016,8.625
14,15-07-2011,1953544.76,0,78.47,3.76,186.1399808,8.625
14,22-07-2011,1882070.88,0,82.33,3.811,186.2177885,8.625
14,29-07-2011,1871021.01,0,81.31,3.829,186.2955962,8.625
14,05-08-2011,2066020.69,0,78.22,3.842,186.3734038,8.625
14,12-08-2011,1928773.82,0,77,3.812,186.4512115,8.625
14,19-08-2011,1896873.99,0,72.98,3.747,186.5093071,8.625
14,26-08-2011,2273470.62,0,72.55,3.704,186.5641172,8.625
14,02-09-2011,1750891.47,0,70.63,3.703,186.6189274,8.625
14,09-09-2011,2202742.9,1,71.48,3.738,186.6737376,8.625
14,16-09-2011,1864637.89,0,69.17,3.742,186.8024,8.625
14,23-09-2011,1871555.64,0,63.75,3.711,187.0295321,8.625
14,30-09-2011,1809989.29,0,70.66,3.645,187.2566641,8.625
14,07-10-2011,2078796.76,0,55.82,3.583,187.4837962,8.523
14,14-10-2011,1890870.75,0,63.82,3.541,187.6917481,8.523
14,21-10-2011,2009004.59,0,59.6,3.57,187.7846197,8.523
14,28-10-2011,2056846.12,0,51.78,3.569,187.8774913,8.523
14,04-11-2011,2174056.71,0,43.92,3.551,187.9703629,8.523
14,11-11-2011,2081534.65,0,47.65,3.53,188.0632345,8.523
14,18-11-2011,1969360.72,0,51.34,3.53,188.1983654,8.523
14,25-11-2011,2685351.81,1,48.71,3.492,188.3504,8.523
14,02-12-2011,2143080.57,0,50.19,3.452,188.5024346,8.523
14,09-12-2011,2470581.29,0,46.57,3.415,188.6544692,8.523
14,16-12-2011,2594363.09,0,39.93,3.413,188.7979349,8.523
14,23-12-2011,3369068.99,0,42.27,3.389,188.9299752,8.523
14,30-12-2011,1914148.89,1,37.79,3.389,189.0620155,8.523
14,06-01-2012,1859144.96,0,35.88,3.422,189.1940558,8.424
14,13-01-2012,1696248.27,0,41.18,3.513,189.3260962,8.424
14,20-01-2012,1789113.32,0,31.85,3.533,189.4214733,8.424
14,27-01-2012,1595362.27,0,37.93,3.567,189.5168505,8.424
14,03-02-2012,1877410.36,0,42.96,3.617,189.6122277,8.424
14,10-02-2012,2077256.24,1,37,3.64,189.7076048,8.424
14,17-02-2012,2020550.99,0,36.85,3.695,189.8424834,8.424
14,24-02-2012,1875040.16,0,42.86,3.739,190.0069881,8.424
14,02-03-2012,1926004.99,0,41.55,3.816,190.1714927,8.424
14,09-03-2012,2020839.31,0,45.52,3.848,190.3359973,8.424
14,16-03-2012,1941040.5,0,50.56,3.862,190.4618964,8.424
14,23-03-2012,1893447.71,0,59.45,3.9,190.5363213,8.424
14,30-03-2012,1905033.01,0,50.04,3.953,190.6107463,8.424
14,06-04-2012,2376022.26,0,49.73,3.996,190.6851712,8.567
14,13-04-2012,1912909.69,0,51.83,4.044,190.7595962,8.567
14,20-04-2012,1875686.44,0,63.13,4.027,190.8138013,8.567
14,27-04-2012,1784029.95,0,53.2,4.004,190.8680064,8.567
14,04-05-2012,1949354.29,0,55.21,3.951,190.9222115,8.567
14,11-05-2012,1987531.05,0,61.24,3.889,190.9764167,8.567
14,18-05-2012,1932233.17,0,66.3,3.848,190.9964479,8.567
14,25-05-2012,2030869.61,0,67.21,3.798,191.0028096,8.567
14,01-06-2012,2049485.49,0,74.48,3.742,191.0091712,8.567
14,08-06-2012,2099615.88,0,64.3,3.689,191.0155329,8.567
14,15-06-2012,1905733.68,0,71.93,3.62,191.0299731,8.567
14,22-06-2012,1660228.88,0,74.22,3.564,191.0646096,8.567
14,29-06-2012,1591835.02,0,75.22,3.506,191.0992462,8.567
14,06-07-2012,1862128.95,0,82.99,3.475,191.1338827,8.684
14,13-07-2012,1544422.35,0,79.97,3.523,191.1685192,8.684
14,20-07-2012,1553250.16,0,78.89,3.567,191.1670428,8.684
14,27-07-2012,1479514.66,0,77.2,3.647,191.1655664,8.684
14,03-08-2012,1656886.46,0,76.58,3.654,191.16409,8.684
14,10-08-2012,1648570.03,0,78.65,3.722,191.1626135,8.684
14,17-08-2012,1660433.3,0,75.71,3.807,191.2284919,8.684
14,24-08-2012,1621841.33,0,72.62,3.834,191.3448865,8.684
14,31-08-2012,1613342.19,0,75.09,3.867,191.461281,8.684
14,07-09-2012,1904512.34,1,75.7,3.911,191.5776756,8.684
14,14-09-2012,1554794.22,0,67.87,3.948,191.69985,8.684
14,21-09-2012,1565352.46,0,65.32,4.038,191.8567038,8.684
14,28-09-2012,1522512.2,0,64.88,3.997,192.0135577,8.684
14,05-10-2012,1687592.16,0,64.89,3.985,192.1704115,8.667
14,12-10-2012,1639585.61,0,54.47,4,192.3272654,8.667
14,19-10-2012,1590274.72,0,56.47,3.969,192.3308542,8.667
14,26-10-2012,1704357.62,0,58.85,3.882,192.3088989,8.667
