Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
05-02-2010,467546.74,0,45.97,2.545,209.8529663,8.554
12-02-2010,469563.7,1,46.11,2.539,209.9970208,8.554
19-02-2010,470281.03,0,45.66,2.472,210.0451024,8.554
26-02-2010,447519.44,0,50.87,2.52,210.0771885,8.554
05-03-2010,480203.43,0,51.33,2.574,210.1092746,8.554
12-03-2010,441434.2,0,61.96,2.619,210.1413607,8.554
19-03-2010,428851.99,0,59.56,2.701,209.9803208,8.554
26-03-2010,404438.51,0,55.76,2.711,209.7870932,8.554
02-04-2010,435972.82,0,63.43,2.708,209.5938656,8.464
09-04-2010,453016.91,0,68.54,2.743,209.400638,8.464
16-04-2010,483699.56,0,66.74,2.769,209.2691428,8.464
23-04-2010,434116.8,0,68.03,2.762,209.2199574,8.464
30-04-2010,457899.64,0,70.9,2.725,209.170772,8.464
07-05-2010,489372.02,0,75.56,2.786,209.1215867,8.464
14-05-2010,476733.74,0,77.53,2.805,209.118536,8.464
21-05-2010,474917.98,0,77.34,2.767,209.3922937,8.464
28-05-2010,447050.42,0,80.87,2.716,209.6660514,8.464
04-06-2010,471088.88,0,79.93,2.664,209.9398091,8.464
11-06-2010,467711.18,0,82.3,2.615,210.2135668,8.464
18-06-2010,485694.72,0,84.37,2.572,210.2108417,8.464
25-06-2010,434879.87,0,84.14,2.601,210.0975233,8.464
02-07-2010,434252.15,0,81.85,2.606,209.984205,8.36
09-07-2010,471713.59,0,81.74,2.596,209.8708867,8.36
16-07-2010,466962.04,0,84.43,2.561,209.8630532,8.36
23-07-2010,452021.2,0,82.6,2.542,209.9958663,8.36
30-07-2010,432451.91,0,81.88,2.602,210.1286794,8.36
06-08-2010,467442.94,0,85.49,2.573,210.2614925,8.36
13-08-2010,470436.8,0,86.06,2.644,210.3943056,8.36
20-08-2010,437949.9,0,85.54,2.604,210.3617581,8.36
27-08-2010,412050.73,0,84.62,2.562,210.3292106,8.36
03-09-2010,431294.45,0,82.29,2.533,210.2966631,8.36
10-09-2010,434471.38,1,80.58,2.513,210.2641156,8.36
17-09-2010,454694.21,0,82.1,2.55,210.2924504,8.36
24-09-2010,419348.59,0,79.17,2.578,210.3664469,8.36
01-10-2010,422169.47,0,74.66,2.567,210.4404433,8.476
08-10-2010,444351.61,0,66.34,2.595,210.5144398,8.476
15-10-2010,453308.15,0,71.57,2.705,210.5805944,8.476
22-10-2010,424956.3,0,72.24,2.698,210.6271444,8.476
29-10-2010,392654.26,0,76.22,2.68,210.6736944,8.476
05-11-2010,405860.37,0,62.72,2.655,210.7202444,8.476
12-11-2010,425804.8,0,61.97,2.705,210.7667944,8.476
19-11-2010,411615.71,0,56.73,2.741,210.65429,8.476
26-11-2010,408891.49,1,67.73,2.725,210.5152765,8.476
03-12-2010,360266.09,0,54.44,2.694,210.376263,8.476
10-12-2010,404545.03,0,51.83,2.813,210.2372494,8.476
17-12-2010,410214.7,0,56.73,2.852,210.1787224,8.476
24-12-2010,422093.59,0,59.1,2.863,210.1805602,8.476
31-12-2010,359310.65,1,52.88,2.949,210.182398,8.476
07-01-2011,384659.85,0,54.11,2.942,210.1842358,8.395
14-01-2011,410497.73,0,42.87,2.971,210.2379731,8.395
21-01-2011,399191.05,0,51.18,2.98,210.6031072,8.395
28-01-2011,372174.12,0,48.74,2.995,210.9682412,8.395
04-02-2011,417521.7,0,46.68,2.98,211.3333753,8.395
11-02-2011,401501.2,1,41.16,3.009,211.6985093,8.395
18-02-2011,427175.03,0,57.48,3.017,212.0063522,8.395
25-02-2011,380279.44,0,67.73,3.053,212.2912786,8.395
04-03-2011,402579.84,0,64.55,3.282,212.576205,8.395
11-03-2011,407506.78,0,59.15,3.448,212.8611313,8.395
18-03-2011,431412.22,0,64.9,3.487,213.1096787,8.395
25-03-2011,390732.02,0,71.07,3.488,213.3436744,8.395
01-04-2011,385672.11,0,67.31,3.529,213.5776701,8.3
08-04-2011,428727.61,0,69.39,3.645,213.8116658,8.3
15-04-2011,414986.54,0,73.25,3.763,214.026217,8.3
22-04-2011,374574.72,0,74.57,3.805,214.1921572,8.3
29-04-2011,340708.78,0,76.1,3.837,214.3580974,8.3
06-05-2011,393401.4,0,69.56,3.917,214.5240376,8.3
13-05-2011,395316.65,0,76.73,3.92,214.6899778,8.3
20-05-2011,376183.44,0,73.02,3.925,214.465412,8.3
27-05-2011,348655.2,0,81.28,3.786,214.2408462,8.3
03-06-2011,373703.95,0,82.96,3.69,214.0162805,8.3
10-06-2011,374182.04,0,82.41,3.633,213.7917147,8.3
17-06-2011,394645.25,0,84.43,3.599,213.7481256,8.3
24-06-2011,360009.94,0,83.95,3.569,213.8402689,8.3
01-07-2011,354270.77,0,85.33,3.502,213.9324122,8.177
08-07-2011,377464.62,0,84.71,3.44,214.0245556,8.177
15-07-2011,385631.48,0,85.63,3.55,214.1083654,8.177
22-07-2011,361311.41,0,83.31,3.637,214.1713416,8.177
29-07-2011,354361.08,0,84.99,3.66,214.2343177,8.177
05-08-2011,381017.75,0,86.71,3.652,214.2972939,8.177
12-08-2011,380188.69,0,87.64,3.608,214.3602701,8.177
19-08-2011,373267.58,0,87.24,3.534,214.4239935,8.177
26-08-2011,344964.2,0,86.02,3.501,214.4878416,8.177
02-09-2011,350276.29,0,87.5,3.481,214.5516896,8.177
09-09-2011,352960.64,1,77.94,3.499,214.6155376,8.177
16-09-2011,343108.12,0,82.06,3.473,214.7934111,8.177
23-09-2011,322405.13,0,78.35,3.441,215.1233185,8.177
30-09-2011,314910.37,0,81.52,3.328,215.4532259,8.177
07-10-2011,346137.87,0,71.2,3.262,215.7831333,7.716
14-10-2011,342076.99,0,74.16,3.234,216.0885258,7.716
21-10-2011,328633.34,0,67.89,3.308,216.2468287,7.716
28-10-2011,306193.81,0,71.31,3.306,216.4051315,7.716
04-11-2011,313387.11,0,58.97,3.287,216.5634344,7.716
11-11-2011,328498.92,0,63.5,3.254,216.7217373,7.716
18-11-2011,332901.94,0,66.28,3.26,216.9395861,7.716
25-11-2011,332811.55,1,66.41,3.181,217.1812533,7.716
02-12-2011,293350.51,0,53.57,3.164,217.4229206,7.716
09-12-2011,312298.37,0,50.64,3.147,217.6645878,7.716
16-12-2011,341503.92,0,58.31,3.133,217.8781339,7.716
23-12-2011,325262.46,0,55.41,3.098,218.0541851,7.716
30-12-2011,287425.22,1,48.26,3.132,218.2302364,7.716
06-01-2012,329467.82,0,57.18,3.129,218.4062876,7.244
13-01-2012,325976.34,0,56.28,3.254,218.5823389,7.244
20-01-2012,330927.21,0,58.9,3.275,218.6755292,7.244
27-01-2012,301444.94,0,62.73,3.313,218.7687195,7.244
03-02-2012,310982.87,0,61.33,3.421,218.8619099,7.244
10-02-2012,335741.9,1,54.49,3.462,218.9551002,7.244
17-02-2012,326316.73,0,54.38,3.503,219.1148297,7.244
24-02-2012,313270.45,0,62.21,3.55,219.3244636,7.244
02-03-2012,315396.72,0,64.54,3.619,219.5340975,7.244
09-03-2012,318674.93,0,63.19,3.647,219.7437314,7.244
16-03-2012,335345.82,0,67.48,3.779,219.8956335,7.244
23-03-2012,317872.51,0,69.18,3.845,219.9705599,7.244
30-03-2012,304144.9,0,70.48,3.891,220.0454862,7.244
06-04-2012,331026.11,0,73.95,3.934,220.1204125,6.989
13-04-2012,339407.94,0,72.54,3.919,220.1953389,6.989
20-04-2012,323915.32,0,70.87,3.918,220.2483937,6.989
27-04-2012,308389.82,0,70.06,3.888,220.3014485,6.989
04-05-2012,312467.52,0,77.17,3.835,220.3545033,6.989
11-05-2012,330518.34,0,76.55,3.764,220.4075581,6.989
18-05-2012,324801.13,0,73.7,3.713,220.4252149,6.989
25-05-2012,306098.17,0,78.94,3.636,220.4287124,6.989
01-06-2012,306005.53,0,80.74,3.567,220.4322099,6.989
08-06-2012,338273.38,0,81.5,3.513,220.4357073,6.989
15-06-2012,333146.88,0,82.15,3.407,220.4494148,6.989
22-06-2012,306411.01,0,80.4,3.358,220.4886472,6.989
29-06-2012,291530.43,0,86.68,3.273,220.5278796,6.989
06-07-2012,306578.89,0,81.52,3.232,220.567112,6.623
13-07-2012,298337.41,0,78.15,3.245,220.6063444,6.623
20-07-2012,303289.55,0,81.76,3.301,220.6148749,6.623
27-07-2012,279643.43,0,84,3.392,220.6234054,6.623
03-08-2012,304989.97,0,85.56,3.404,220.6319358,6.623
10-08-2012,298947.51,0,84.41,3.49,220.6404663,6.623
17-08-2012,314607.22,0,85.89,3.571,220.7199609,6.623
24-08-2012,282545.55,0,81.26,3.574,220.8526787,6.623
31-08-2012,282647.48,0,84.79,3.608,220.9853964,6.623
07-09-2012,293728.57,1,84.19,3.697,221.1181142,6.623
14-09-2012,301893.63,0,78.16,3.692,221.2601207,6.623
21-09-2012,293804.45,0,75.98,3.709,221.4578604,6.623
28-09-2012,270677.98,0,79.49,3.66,221.6556,6.623
05-10-2012,277137.86,0,73.57,3.611,221.8533396,6.228
12-10-2012,300236.85,0,71.28,3.576,222.0510793,6.228
19-10-2012,287360.05,0,74.06,3.57,222.0951719,6.228
26-10-2012,272489.41,0,74.39,3.494,222.1136566,6.228
