Week,Forecast_Sales,Lower_95,Upper_95,Is_Holiday
2012-11-02,1754856.95,1509907.17,2039544.5,0
2012-11-09,1700055.38,1452970.91,1989157.68,0
2012-11-16,1632720.89,1386470.63,1922707.49,0
2012-11-23,2047203.58,1727708.96,2425780.35,0
2012-11-30,1736581.09,1456834.34,2070045.8,0
2012-12-07,1926419.37,1606781.73,2309642.59,0
2012-12-14,1996364.18,1655824.2,2406940.21,0
2012-12-21,2156189.02,1778690.58,2613805.37,0
2012-12-28,1599199.6,1312261.01,1948880.06,0
2013-01-04,1565543.45,1278045.95,1917713.69,0
2013-01-11,1464241.63,1189359.77,1802653.44,0
2013-01-18,1522299.29,1230470.32,1883340.9,0
