Week,Forecast_Sales,Lower_95,Upper_95,Is_Holiday
2012-11-02,516353.81581623026,420607.7883520487,633895.1600427871,0
2012-11-09,530308.7487543661,414436.80528694397,678577.1268897634,1
2012-11-16,541292.7536633023,415770.433382142,704710.54155896,1
2012-11-23,751282.9857425222,572253.9096475926,986321.0353683947,0
2012-11-30,613384.0474302515,465087.356706812,808966.180075401,0
2012-12-07,644228.3762983893,487111.1943779834,852023.4290245803,0
2012-12-14,701230.4546674582,529198.8419038175,929185.8857066119,0
2012-12-21,838167.7177327366,631628.9004691399,1112243.3678868618,1
2012-12-28,763780.385847352,574890.9682457196,1014732.2674468011,1
2013-01-04,690508.548180044,519203.30838403455,918333.8990531415,0
2013-01-11,633178.6783976906,475647.5303708573,842882.9353781105,0
2013-01-18,621619.7021700355,466550.1590289938,828230.352314258,1
